generation,best_reward,mean_reward,reward_std,best_ever_reward
88,8.199999809265137,3.5999999046325684,1.8195122480392456,10.90000057220459
89,7.400000095367432,2.9250001907348633,1.7682088613510132,10.90000057220459
90,5.700000286102295,0.7109375,2.240264892578125,10.90000057220459
91,10.5,2.9984376430511475,2.349766731262207,10.90000057220459
92,8.199999809265137,2.567187786102295,2.537226438522339,10.90000057220459
93,9.300000190734863,3.5890626907348633,2.091285228729248,10.90000057220459
94,5.5,1.3812501430511475,1.865800380706787,10.90000057220459
95,6.200000286102295,1.615625023841858,2.3061208724975586,10.90000057220459
96,7.300000190734863,2.714062452316284,2.0654802322387695,10.90000057220459
97,10.40000057220459,3.5250000953674316,2.966163396835327,10.90000057220459
98,8.40000057220459,2.926562547683716,1.9096992015838623,10.90000057220459
99,9.40000057220459,5.231249809265137,1.950871229171753,10.90000057220459
100,6.5,2.0734376907348633,2.0575501918792725,10.90000057220459
101,8.90000057220459,4.110937595367432,2.0337862968444824,10.90000057220459
102,7.700000286102295,3.3671875,2.06201171875,10.90000057220459
103,9.800000190734863,4.96875,2.0888750553131104,10.90000057220459
104,8.100000381469727,2.5328125953674316,2.4802379608154297,10.90000057220459
105,8.40000057220459,4.376562595367432,1.9281420707702637,10.90000057220459
106,7.800000190734863,2.356250047683716,2.288618326187134,10.90000057220459
107,10.300000190734863,4.837500095367432,2.554316282272339,10.90000057220459
108,8.90000057220459,3.8500001430511475,2.393285036087036,10.90000057220459
109,10.699999809265137,4.123437881469727,2.5198426246643066,10.90000057220459
110,8.199999809265137,4.278124809265137,2.495149612426758,10.90000057220459
111,9.0,3.2093751430511475,2.3411214351654053,10.90000057220459
112,8.699999809265137,3.403125286102295,2.162461757659912,10.90000057220459
113,13.100000381469727,5.332812309265137,2.5061209201812744,13.100000381469727
114,10.199999809265137,6.317187309265137,2.317767858505249,13.100000381469727
115,9.90000057220459,4.8671875,2.2708792686462402,13.100000381469727
116,8.40000057220459,3.7796878814697266,2.062854528427124,13.100000381469727
117,11.699999809265137,6.706250190734863,2.226184606552124,13.100000381469727
118,11.5,5.34531307220459,2.315769910812378,13.100000381469727
119,10.0,3.995312452316284,2.4095144271850586,13.100000381469727
120,7.599999904632568,2.6999998092651367,2.0675318241119385,13.100000381469727
121,13.40000057220459,5.639062404632568,3.2078816890716553,13.40000057220459
122,11.600000381469727,7.026562213897705,2.2192511558532715,13.40000057220459
123,9.5,5.412500381469727,2.1237130165100098,13.40000057220459
124,11.40000057220459,6.19687557220459,2.2368342876434326,13.40000057220459
125,11.699999809265137,6.760937690734863,2.6463191509246826,13.40000057220459
126,11.90000057220459,7.021875381469727,2.7326996326446533,13.40000057220459
127,12.5,6.926562309265137,2.595985174179077,13.40000057220459
128,10.699999809265137,6.473437786102295,2.484844207763672,13.40000057220459
129,11.0,5.659375190734863,2.5982396602630615,13.40000057220459
130,10.0,5.284375190734863,2.4498865604400635,13.40000057220459
131,13.90000057220459,6.03125,2.699298143386841,13.90000057220459
132,8.40000057220459,3.7296876907348633,2.4359724521636963,13.90000057220459
133,14.600000381469727,8.95156192779541,2.48199725151062,14.600000381469727
134,13.300000190734863,6.928124904632568,2.6464285850524902,14.600000381469727
135,9.600000381469727,4.014062404632568,2.926488161087036,14.600000381469727
136,13.100000381469727,8.592187881469727,2.55265212059021,14.600000381469727
137,8.90000057220459,4.420312881469727,2.420755386352539,14.600000381469727
138,11.0,6.184375286102295,2.475076913833618,14.600000381469727
139,12.0,6.075000286102295,2.749488592147827,14.600000381469727
140,10.699999809265137,5.528124809265137,2.2001752853393555,14.600000381469727
141,11.0,5.321875095367432,3.0322983264923096,14.600000381469727
142,14.0,7.614062309265137,2.707908868789673,14.600000381469727
143,9.699999809265137,4.050000190734863,2.6733639240264893,14.600000381469727
144,13.0,7.360937595367432,2.896636724472046,14.600000381469727
145,11.600000381469727,5.514062881469727,2.7693562507629395,14.600000381469727
146,12.100000381469727,6.1875,3.1184682846069336,14.600000381469727
147,12.300000190734863,6.776562690734863,2.5539638996124268,14.600000381469727
148,10.800000190734863,4.528124809265137,2.5640220642089844,14.600000381469727
149,12.699999809265137,6.831250190734863,3.1843795776367188,14.600000381469727
150,12.699999809265137,6.095312595367432,2.8811581134796143,14.600000381469727
151,14.699999809265137,8.87656307220459,2.541022300720215,14.699999809265137
152,7.5,3.3140625953674316,2.0886499881744385,14.699999809265137
153,11.0,4.8671875,2.4149959087371826,14.699999809265137
154,12.0,5.934375286102295,2.750523805618286,14.699999809265137
155,13.300000190734863,8.328125,2.9457314014434814,14.699999809265137
156,12.300000190734863,6.420312881469727,2.8347275257110596,14.699999809265137
157,11.300000190734863,6.1796875,3.4549412727355957,14.699999809265137
158,12.100000381469727,6.5703125,3.16048264503479,14.699999809265137
159,15.100000381469727,8.895313262939453,3.1794471740722656,15.100000381469727
160,11.40000057220459,5.49375057220459,3.058690309524536,15.100000381469727
161,13.90000057220459,6.631250381469727,2.9171838760375977,15.100000381469727
162,11.40000057220459,5.5234375,2.758155107498169,15.100000381469727
163,12.90000057220459,6.6484375,2.9962472915649414,15.100000381469727
164,11.5,6.017187595367432,2.343045234680176,15.100000381469727
165,13.600000381469727,8.521875381469727,2.653916358947754,15.100000381469727
166,11.300000190734863,5.100000381469727,2.5827553272247314,15.100000381469727
167,15.5,9.639062881469727,3.5999834537506104,15.5
168,12.300000190734863,6.831250190734863,2.832174301147461,15.5
169,12.5,6.862500190734863,2.885930299758911,15.5
170,14.90000057220459,8.370311737060547,3.586331605911255,15.5
171,13.5,8.917187690734863,3.271876096725464,15.5
172,13.800000190734863,8.506250381469727,3.3698513507843018,15.5
173,12.800000190734863,8.46875,2.8338840007781982,15.5
174,12.90000057220459,6.8125,2.6871511936187744,15.5
